Site;X;Y;CellName;AZIMUT
S08042;120097;483381;G080422;20
S08042;120097;483381;G080423;40
S08045;195967;481056;G080451;30
S08045;195967;481056;G080452;180
S08045;195967;481056;G080453;280
S08046;193378;476896;G080461;30
S08046;193378;476896;G080462;150
S08046;193378;476896;G080463;270
S08054;192598;465733;G080541;100
S08054;192598;465733;G080542;230
S08054;192598;465733;G080543;330
S08055;191659;470345;G080551;60
S08055;191659;470345;G080552;180
S08055;191659;470345;G080553;300
S08061;177628;458751;G080611;60
S08061;177628;458751;G080612;180
S08061;177628;458751;G080613;300
S08062;214408;441294;G080621;110
S08062;214408;441294;G080622;235
S08062;214408;441294;G080623;0
S08063;167707;450952;G080631;120
S08063;167707;450952;G080632;240
S08063;167707;450952;G080633;0
S08064;175965;445934;G080641;30
S08064;175965;445934;G080642;150
S08064;175965;445934;G080643;270
S08065;174849;448161;G080651;120
S08065;174849;448161;G080652;240
S08065;174849;448161;G080653;0
S08066;174116;449382;G080661;120
S08066;174116;449382;G080662;240
S08066;174116;449382;G080663;0
S08067;233455;581142;G080671;60
S08067;233455;581142;G080672;180
S08067;233455;581142;G080673;310
S08069;175234;451551;G080691;150
S08069;175234;451551;G080692;260
S08069;175234;451551;G080693;10
S08075;124517;480569;G080751;0
S08078;169942;475004;G080781;90
S08078;169942;475004;G080782;210
S08078;169942;475004;G080783;355
S08082;233355;582008;G080821;90
S08082;233355;582008;G080822;210
S08082;233355;582008;G080823;330
S08083;234301;580630;G080831;70
S08083;234301;580630;G080832;180
S08083;234301;580630;G080833;310
S08087;234440;581479;G080871;60
S08087;234440;581479;G080872;180
S08087;234440;581479;G080873;300
S08091;189578;573886;G080911;100
S08091;189578;573886;G080912;190
S08091;189578;573886;G080913;290
S08093;167201;441083;G080931;60
S08093;167201;441083;G080932;180
S08093;167201;441083;G080933;300
S08095;162690;454050;G080951;60
S08095;162690;454050;G080952;180
S08095;162690;454050;G080953;300
S08096;231086;581552;G080961;90
S08096;231086;581552;G080962;210
S08096;231086;581552;G080963;0
S08097;151001;455356;G080971;90
S08097;151001;455356;G080972;180
S08097;151001;455356;G080973;300
S08102;230943;579794;G081021;40
S08102;230943;579794;G081022;160
S08102;230943;579794;G081023;280
S08103;233164;582463;G081031;90
S08103;233164;582463;G081032;210
S08103;233164;582463;G081033;330
S08104;234005;579541;G081041;100
S08104;234005;579541;G081042;250
S08104;234005;579541;G081043;10
S08114;145056;437682;G081141;140
S08114;145056;437682;G081142;240
S08114;145056;437682;G081143;350
S08115;138772;442065;G081151;90
S08115;138772;442065;G081152;210
S08115;138772;442065;G081153;330
S08116;120109;414246;G081161;90
S08116;120109;414246;G081162;180
S08116;120109;414246;G081163;270
S08128;119141;449240;G081281;50
S08128;119141;449240;G081282;170
S08128;119141;449240;G081283;290
S08130;207620;372772;G081301;90
S08130;207620;372772;G081302;210
S08130;207620;372772;G081303;330
S08134;134675;449250;G081341;60
S08134;134675;449250;G081342;180
S08134;134675;449250;G081343;290
S08147;192387;468499;G081471;90
S08147;192387;468499;G081472;210
S08147;192387;468499;G081473;330
S08149;196492;470651;G081491;90
S08149;196492;470651;G081492;210
S08149;196492;470651;G081493;330
S08150;197511;467940;G081501;120
S08150;197511;467940;G081502;240
S08150;197511;467940;G081503;0
S08151;79692;453668;G081511;100
S08151;79692;453668;G081512;210
S08151;79692;453668;G081513;350
S08154;109586;426418;G081541;90
S08154;109586;426418;G081542;270
S08154;109586;426418;G081543;0
S08158;195687;322980;G081581;0
S08159;87378;453535;G081591;0
S08159;87378;453535;G081592;20
S08159;87378;453535;G081593;40
S08163;171966;449559;G081631;120
S08163;171966;449559;G081632;240
S08163;171966;449559;G081633;0
S08165;170316;440811;G081651;90
S08165;170316;440811;G081652;210
S08165;170316;440811;G081653;330
S08166;143691;460961;G081661;60
S08166;143691;460961;G081662;180
S08166;143691;460961;G081663;300
S08171;75234;446100;G081711;0
S08171;75234;446100;G081712;20
S08173;188235;492959;G081731;120
S08173;188235;492959;G081732;210
S08173;188235;492959;G081733;330
S08176;107801;475763;G081761;60
S08176;107801;475763;G081762;200
S08176;107801;475763;G081763;310
S08178;26880;400133;G081781;60
S08178;26880;400133;G081782;150
S08178;26880;400133;G081783;260
S08180;239012;518820;G081801;60
S08180;239012;518820;G081802;200
S08180;239012;518820;G081803;300
S08182;149547;406233;G081821;140
S08182;149547;406233;G081822;260
S08182;149547;406233;G081823;0
S08185;225498;521161;G081851;60
S08185;225498;521161;G081852;180
S08185;225498;521161;G081853;300
S08186;125821;440869;G081861;90
S08186;125821;440869;G081862;180
S08186;125821;440869;G081863;300
S08187;86809;463397;G081871;90
S08187;86809;463397;G081872;210
S08187;86809;463397;G081873;320
S08189;99851;441011;G081891;90
S08189;99851;441011;G081892;220
S08189;99851;441011;G081893;330
S08197;217253;541004;G081971;90
S08197;217253;541004;G081972;210
S08197;217253;541004;G081973;330
S08201;133575;396896;G082011;0
S08201;133575;396896;G082012;20
S08201;133575;396896;G082013;40
S08210;140754;455375;G082101;0
S08210;140754;455375;G082102;20
S08210;140754;455375;G082103;40
S08211;198705;465246;G082111;30
S08211;198705;465246;G082112;150
S08211;198705;465246;G082113;270
S08213;140754;455375;G082131;0
S08213;140754;455375;G082132;20
S08213;140754;455375;G082133;40
S08214;247730;478571;G082141;120
S08214;247730;478571;G082142;240
S08214;247730;478571;G082143;0
S08217;78560;453289;G082171;110
S08217;78560;453289;G082172;220
S08217;78560;453289;G082173;20
S08221;143087;486326;G082211;50
S08221;143087;486326;G082212;170
S08221;143087;486326;G082213;280
S08224;275575;559668;G082241;120
S08224;275575;559668;G082242;220
S08224;275575;559668;G082243;330
S08228;274773;571709;G082281;60
S08228;274773;571709;G082282;180
S08228;274773;571709;G082283;300
S08230;196551;497796;G082301;30
S08230;196551;497796;G082302;150
S08230;196551;497796;G082303;270
S08237;236280;486660;G082371;30
S08237;236280;486660;G082372;150
S08237;236280;486660;G082373;270
S08238;204994;502592;G082381;30
S08238;204994;502592;G082382;150
S08238;204994;502592;G082383;270
S08246;179938;485494;G082461;30
S08246;179938;485494;G082462;150
S08246;179938;485494;G082463;260
S08247;239168;555840;G082471;120
S08247;239168;555840;G082472;240
S08247;239168;555840;G082473;0
S08248;210443;516308;G082481;120
S08248;210443;516308;G082482;240
S08248;210443;516308;G082483;0
S08270;268695;566649;G082701;110
S08270;268695;566649;G082702;230
S08270;268695;566649;G082703;0
S08272;245175;564075;G082721;60
S08272;245175;564075;G082722;180
S08272;245175;564075;G082723;300
S08276;184749;493210;G082761;60
S08276;184749;493210;G082762;200
S08276;184749;493210;G082763;320
S08277;185162;496443;G082771;60
S08277;185162;496443;G082772;180
S08277;185162;496443;G082773;300
S08278;189089;498027;G082781;30
S08278;189089;498027;G082782;150
S08278;189089;498027;G082783;270
S08281;260323;482332;G082811;87
S08281;260323;482332;G082812;177
S08281;260323;482332;G082813;357
S08294;143966;492195;G082941;50
S08294;143966;492195;G082942;150
S08294;143966;492195;G082943;270
S08298;159699;465317;G082981;30
S08298;159699;465317;G082982;140
S08298;159699;465317;G082983;270
S08305;92886;464319;G083051;60
S08305;92886;464319;G083052;190
S08305;92886;464319;G083053;300
S08307;204860;503030;G083071;0
S08307;204860;503030;G083072;20
S08307;204860;503030;G083073;40
S08308;267375;545831;G083081;90
S08308;267375;545831;G083082;210
S08308;267375;545831;G083083;330
S08309;205121;502849;G083091;0
S08309;205121;502849;G083092;20
S08309;205121;502849;G083093;40
S08311;146727;489828;G083111;40
S08311;146727;489828;G083112;160
S08311;146727;489828;G083113;270
S08312;156060;462040;G083121;120
S08312;156060;462040;G083122;240
S08312;156060;462040;G083123;0
S08313;187782;426725;G083131;0
S08313;187782;426725;G083132;20
S08313;187782;426725;G083133;40
S08315;137525;455953;G083151;60
S08315;137525;455953;G083152;180
S08315;137525;455953;G083153;300
S08320;157854;460279;G083201;30
S08320;157854;460279;G083202;150
S08320;157854;460279;G083203;290
S08321;240000;486157;G083211;120
S08321;240000;486157;G083212;240
S08321;240000;486157;G083213;0
S08322;192841;470442;G083221;60
S08322;192841;470442;G083222;180
S08322;192841;470442;G083223;300
S08323;193613;444668;G083231;0
S08331;228289;486946;G083311;90
S08331;228289;486946;G083312;180
S08331;228289;486946;G083313;270
S08334;153097;412601;G083341;0
S08334;153097;412601;G083342;20
S08335;140968;478545;G083351;60
S08335;140968;478545;G083352;180
S08335;140968;478545;G083353;300
S08336;237005;472197;G083361;60
S08336;237005;472197;G083362;180
S08336;237005;472197;G083363;300
S08339;265666;536817;G083391;60
S08339;265666;536817;G083392;180
S08339;265666;536817;G083393;300
